Marker,Cell_Type,Cell_Type2,Subset_Type,Subset_Type2,Paper,Notes
ACAT2,Fibroblast,T_cell ,Myofibroblast,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,Detected in all
MCAM,Fibroblast,,Myofibroblast,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,Not detected in immune cells 
MYLK,Fibroblast,Total PBMC,Myofibroblast,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,Detetcted in basophils and neutrophils
MYL9,Fibroblast,Total PBMC,Myofibroblast,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,Detected in eosinophils and neutrophils 
IL6,Fibroblast,B_Cells,Myofibroblast,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,Detected in naive B-cell and memory B-cell
FAP,Fibroblast,,Cancerassociatedfibroblast,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,Not detected in immune cells 
THY1,Fibroblast,,Cancerassociatedfibroblast,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,Not detected in immune cells 
PDPN,Fibroblast,,Cancerassociatedfibroblast,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,Not detected in immune cells 
MMP2,Fibroblast,,Cancerassociatedfibroblast,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,Not detected in immune cells 
PDGFRA,Fibroblast,,Cancerassociatedfibroblast,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,Not detected in immune cells 
TGFB3,Fibroblast,,Cancerassociatedfibroblast,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,Not detected in immune cells 
COL1A1,Fibroblast,Pericytes,,,https://www.nature.com/articles/s41467-021-27619-4#MOESM1,Not detected in immune cells 
COL1A2,Fibroblast,Pericytes,,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,https://www.nature.com/articles/s41467-021-27619-4#MOESM1",Not detected in immune cells 
DCN,Fibroblast,Basophil ,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,Detected in basophils 
COL13A1,Fibroblast,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,Not detected in immune cells 
COL6A2,Fibroblast,T_cell,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,"Detected in gdT-cell, MAIT T-cell, memory CD8 T-cell, naive CD8 T-cell"
CCR7,T_cell,Dendritic,CD4,DC3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,Detected in Naive CD4 T-cells 
TCF7,T_cell,NK,CD4,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,Detected in T-cells and NK-cells 
FOXP3,T_cell,,Tregs,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,Detected in T-cells 
IL2RA,T_cell,Basophil,Tregs,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,Detected in T-cells and Basophils
GZMA,T_cell,NK,CD8activated,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,Detected in T-cells and NK-cells 
GZMB,T_cell,Dendritic ,CD8activated,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,Detected in T-cells and dendritic cells 
GZMH,T_cell,,CD8activated,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,Detetcted in T-cells
GZMK,T_cell,NK,deltagamma_Tcell,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,Detected in T-cells and NK-cells 
PRF1,T_cell,NK,CD8activated,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,Detected in T-cells and NK-cells 
PDCD1,T_cell,,CD8exhausted,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,Detected in T-cells 
LAG3,T_cell,,CD8exhausted,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,Detected in T-cells 
TIGIT,T_cell,,CD8exhausted,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,Detected in T-cells 
CTLA4,T_cell,,CD8exhausted,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,Detected in T-cells 
CD2,T_cell,NK,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5878932/,Detected in T-cells and NK-cells
CD4,T_cell,Dendritic ,CD4,,https://support.10xgenomics.com/csv/BloodCell.csv?src=display&lss=biocompare&cnm=&cid=NULL,"Detected in dendritic cells, monocytes, and t-cells "
